城市,纬度,经度,人口,GDP,人均GDP,著名景点,年份
荆门市,31.0354,112.2036,244,1789,64235,明显陵,2020
孝感市,30.9163,113.9252,440,2049,39158,双峰山,2020
荆州市,30.3266,112.2377,496,2325,39003,荆州古城、洪湖湿地,2020
黄冈市,30.4476,114.8703,560,1877,31260,麻城龟山,2020
咸宁市,29.8414,114.3236,233,1264,51088,九宫山、赤壁古战场,2020
随州市,31.7171,113.3717,185,944,44605,大洪山风景区,2020
恩施土家族苗族自治州,30.2838,109.4859,362,1019,27027,恩施大峡谷、腾龙洞,2020
仙桃市,30.3623,113.4563,97,772,65327,沔阳小镇,2020
武汉市,30.5431,114.3392,1017,13928,128970,黄鹤楼、东湖、武汉大学,2019
黄石市,30.2202,115.0754,233,1491,51138,铜绿山古铜矿遗址,2019
十堰市,32.6215,110.7718,282,1724,50859,武当山,2019
宜昌市,30.7075,111.2908,366,3668,91629,三峡大坝、三峡人家,2019
襄阳市,32.0006,112.1444,500,3669,63593,古隆中、襄阳古城,2019
鄂州市,30.3913,114.8948,93,849,86070,梁子湖,2019
荆门市,31.0354,112.2036,241,1771,62308,明显陵,2019
孝感市,30.9163,113.9252,418,2029,37592,双峰山,2019
荆州市,30.3266,112.2377,491,2256,37833,荆州古城、洪湖湿地,2019
黄冈市,30.4476,114.8703,532,1821,30009,麻城龟山,2019
咸宁市,29.8414,114.3236,231,1226,50066,九宫山、赤壁古战场,2019
随州市,31.7171,113.3717,182,925,43267,大洪山风景区,2019
恩施土家族苗族自治州,30.2838,109.4859,355,968,26487,恩施大峡谷、腾龙洞,2019
仙桃市,30.3623,113.4563,95,733,62714,沔阳小镇,2019
武汉市,30.5431,114.3392,986,13510,125101,黄鹤楼、东湖、武汉大学,2018
黄石市,30.2202,115.0754,230,1461,50627,铜绿山古铜矿遗址,2018
十堰市,32.6215,110.7718,268,1689,49842,武当山,2018
宜昌市,30.7075,111.2908,355,3521,87047,三峡大坝、三峡人家,2018
襄阳市,32.0006,112.1444,490,3596,61685,古隆中、襄阳古城,2018
鄂州市,30.3913,114.8948,91,832,85209,梁子湖,2018
荆门市,31.0354,112.2036,232,1718,61062,明显陵,2018
孝感市,30.9163,113.9252,414,1927,36464,双峰山,2018
荆州市,30.3266,112.2377,471,2143,35941,荆州古城、洪湖湿地,2018
黄冈市,30.4476,114.8703,521,1730,28809,麻城龟山,2018
咸宁市,29.8414,114.3236,224,1177,48564,九宫山、赤壁古战场,2018
随州市,31.7171,113.3717,173,888,42402,大洪山风景区,2018
恩施土家族苗族自治州,30.2838,109.4859,348,929,25162,恩施大峡谷、腾龙洞,2018
仙桃市,30.3623,113.4563,92,704,61460,沔阳小镇,2018
武汉市,30.5431,114.3392,957,13105,118846,黄鹤楼、东湖、武汉大学,2017
黄石市,30.2202,115.0754,219,1388,50121,铜绿山古铜矿遗址,2017
十堰市,32.6215,110.7718,255,1638,49343,武当山,2017
宜昌市,30.7075,111.2908,340,3345,86177,三峡大坝、三峡人家,2017
襄阳市,32.0006,112.1444,480,3416,61068,古隆中、襄阳古城,2017
鄂州市,30.3913,114.8948,87,816,82653,梁子湖,2017
荆门市,31.0354,112.2036,227,1632,59230,明显陵,2017
孝感市,30.9163,113.9252,405,1850,35005,双峰山,2017
荆州市,30.3266,112.2377,457,2079,35582,荆州古城、洪湖湿地,2017
黄冈市,30.4476,114.8703,495,1643,28233,麻城龟山,2017
咸宁市,29.8414,114.3236,219,1166,48079,九宫山、赤壁古战场,2017
随州市,31.7171,113.3717,167,879,41978,大洪山风景区,2017
恩施土家族苗族自治州,30.2838,109.4859,331,883,24911,恩施大峡谷、腾龙洞,2017
仙桃市,30.3623,113.4563,90,676,59616,沔阳小镇,2017
武汉市,30.5431,114.3392,928,12449,117657,黄鹤楼、东湖、武汉大学,2016
黄石市,30.2202,115.0754,217,1318,48116,铜绿山古铜矿遗址,2016
十堰市,32.6215,110.7718,242,1606,47369,武当山,2016
宜昌市,30.7075,111.2908,327,3211,83591,三峡大坝、三峡人家,2016
襄阳市,32.0006,112.1444,471,3313,59847,古隆中、襄阳古城,2016
鄂州市,30.3913,114.8948,87,783,81826,梁子湖,2016
荆门市,31.0354,112.2036,218,1583,58046,明显陵,2016
孝感市,30.9163,113.9252,397,1813,34305,双峰山,2016
荆州市,30.3266,112.2377,434,2016,33803,荆州古城、洪湖湿地,2016
黄冈市,30.4476,114.8703,480,1561,27950,麻城龟山,2016
咸宁市,29.8414,114.3236,210,1107,47598,九宫山、赤壁古战场,2016
随州市,31.7171,113.3717,162,844,39879,大洪山风景区,2016
恩施土家族苗族自治州,30.2838,109.4859,327,848,24412,恩施大峡谷、腾龙洞,2016
仙桃市,30.3623,113.4563,89,649,59020,沔阳小镇,2016
武汉市,30.5431,114.3392,881,12076,114127,黄鹤楼、东湖、武汉大学,2015
黄石市,30.2202,115.0754,212,1266,47154,铜绿山古铜矿遗址,2015
十堰市,32.6215,110.7718,232,1557,45475,武当山,2015
宜昌市,30.7075,111.2908,324,3083,81084,三峡大坝、三峡人家,2015
襄阳市,32.0006,112.1444,447,3280,56854,古隆中、襄阳古城,2015
鄂州市,30.3913,114.8948,86,775,77735,梁子湖,2015
荆门市,31.0354,112.2036,214,1535,55724,明显陵,2015
孝感市,30.9163,113.9252,378,1741,32933,双峰山,2015
荆州市,30.3266,112.2377,421,1936,33465,荆州古城、洪湖湿地,2015
黄冈市,30.4476,114.8703,461,1483,27671,麻城龟山,2015
咸宁市,29.8414,114.3236,208,1063,45694,九宫山、赤壁古战场,2015
随州市,31.7171,113.3717,161,802,38284,大洪山风景区,2015
恩施土家族苗族自治州,30.2838,109.4859,324,831,23436,恩施大峡谷、腾龙洞,2015
仙桃市,30.3623,113.4563,84,642,57249,沔阳小镇,2015
武汉市,30.5431,114.3392,855,11714,109562,黄鹤楼、东湖、武汉大学,2014
黄石市,30.2202,115.0754,206,1253,46682,铜绿山古铜矿遗址,2014
十堰市,32.6215,110.7718,223,1542,44565,武当山,2014
宜昌市,30.7075,111.2908,320,2960,78651,三峡大坝、三峡人家,2014
襄阳市,32.0006,112.1444,443,3116,54580,古隆中、襄阳古城,2014
鄂州市,30.3913,114.8948,81,744,76180,梁子湖,2014
荆门市,31.0354,112.2036,207,1520,55167,明显陵,2014
孝感市,30.9163,113.9252,370,1688,31616,双峰山,2014
荆州市,30.3266,112.2377,404,1839,32126,荆州古城、洪湖湿地,2014
黄冈市,30.4476,114.8703,452,1468,27117,麻城龟山,2014
咸宁市,29.8414,114.3236,200,1052,44780,九宫山、赤壁古战场,2014
随州市,31.7171,113.3717,153,786,37901,大洪山风景区,2014
恩施土家族苗族自治州,30.2838,109.4859,308,797,23202,恩施大峡谷、腾龙洞,2014
仙桃市,30.3623,113.4563,83,636,56104,沔阳小镇,2014
武汉市,30.5431,114.3392,829,11596,104084,黄鹤楼、东湖、武汉大学,2013
黄石市,30.2202,115.0754,196,1240,44348,铜绿山古铜矿遗址,2013
十堰市,32.6215,110.7718,214,1511,43228,武当山,2013
宜昌市,30.7075,111.2908,304,2871,77865,三峡大坝、三峡人家,2013
襄阳市,32.0006,112.1444,429,2961,51851,古隆中、襄阳古城,2013
鄂州市,30.3913,114.8948,79,715,73895,梁子湖,2013
荆门市,31.0354,112.2036,205,1444,53512,明显陵,2013
孝感市,30.9163,113.9252,359,1638,30035,双峰山,2013
荆州市,30.3266,112.2377,388,1784,31484,荆州古城、洪湖湿地,2013
黄冈市,30.4476,114.8703,429,1395,25761,麻城龟山,2013
咸宁市,29.8414,114.3236,196,1000,43885,九宫山、赤壁古战场,2013
随州市,31.7171,113.3717,148,746,37143,大洪山风景区,2013
恩施土家族苗族自治州,30.2838,109.4859,292,758,22505,恩施大峡谷、腾龙洞,2013
仙桃市,30.3623,113.4563,80,604,54421,沔阳小镇,2013
武汉市,30.5431,114.3392,804,11133,99921,黄鹤楼、东湖、武汉大学,2012
黄石市,30.2202,115.0754,190,1216,43904,铜绿山古铜矿遗址,2012
十堰市,32.6215,110.7718,210,1496,42364,武当山,2012
宜昌市,30.7075,111.2908,295,2813,77086,三峡大坝、三峡人家,2012
襄阳市,32.0006,112.1444,425,2812,51333,古隆中、襄阳古城,2012
鄂州市,30.3913,114.8948,76,700,73156,梁子湖,2012
荆门市,31.0354,112.2036,195,1386,50836,明显陵,2012
孝感市,30.9163,113.9252,341,1589,29134,双峰山,2012
荆州市,30.3266,112.2377,380,1712,30539,荆州古城、洪湖湿地,2012
黄冈市,30.4476,114.8703,420,1325,25504,麻城龟山,2012
咸宁市,29.8414,114.3236,188,950,42129,九宫山、赤壁古战场,2012
随州市,31.7171,113.3717,145,739,36771,大洪山风景区,2012
恩施土家族苗族自治州,30.2838,109.4859,290,742,22055,恩施大峡谷、腾龙洞,2012
仙桃市,30.3623,113.4563,79,598,53877,沔阳小镇,2012
武汉市,30.5431,114.3392,772,11021,94925,黄鹤楼、东湖、武汉大学,2011
黄石市,30.2202,115.0754,182,1179,43026,铜绿山古铜矿遗址,2011
十堰市,32.6215,110.7718,203,1436,41093,武当山,2011
宜昌市,30.7075,111.2908,280,2757,74773,三峡大坝、三峡人家,2011
襄阳市,32.0006,112.1444,408,2784,48766,古隆中、襄阳古城,2011
鄂州市,30.3913,114.8948,74,665,70230,梁子湖,2011
荆门市,31.0354,112.2036,189,1372,49311,明显陵,2011
孝感市,30.9163,113.9252,324,1573,28842,双峰山,2011
荆州市,30.3266,112.2377,361,1644,30234,荆州古城、洪湖湿地,2011
黄冈市,30.4476,114.8703,416,1285,24484,麻城龟山,2011
咸宁市,29.8414,114.3236,186,902,41287,九宫山、赤壁古战场,2011
随州市,31.7171,113.3717,139,717,35301,大洪山风景区,2011
恩施土家族苗族自治州,30.2838,109.4859,284,720,21614,恩施大峡谷、腾龙洞,2011
仙桃市,30.3623,113.4563,75,592,51183,沔阳小镇,2011
